-117,-27,22,-13,-22,26,-190,14,-70,5,
16,-46,-81,-23,-34,-90,63,-58,11,-42,
-74,12,39,-110,-5,30,-101,14,-123,-14,
36,-50,-96,3,-36,-102,66,-76,26,-48,
0,-86,-7,26,-75,-29,-192,5,-92,-55,
28,-48,-82,-5,-32,-87,61,-70,24,-36,
-236,-15,-64,-195,-20,-42,31,-80,18,-6,
-247,-27,-65,17,-25,-14,-109,-76,76,10,
-75,-71,-39,70,-48,-9,-260,-26,-28,-21,
78,-92,-83,26,-103,-85,-293,-25,-205,-109,
-116,16,33,-109,4,16,-55,13,-68,-12,
-113,16,-5,-178,7,-4,-15,-34,-52,-7,
-189,-20,-5,-5,-16,32,-185,-34,-1,26,
-63,5,38,-82,-12,14,-95,15,-106,-21,
-177,-29,-4,-23,-11,10,-137,-2,-5,9,
-99,21,23,-137,2,5,-50,-1,-118,-39,
